"","eventid","country_txt","region_txt","success","suicide","attacktype1_txt","targtype1_txt","nkill","nkillter","nwound","gdp"
"5220",201709250007,"Iraq","Middle East & North Africa",0,0,"Unknown","Military",-999,-999,0,"2.08595E+11"
"10552",201703200041,"United States","North America",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"1.7305E+13"
"4522",201706100005,"Iraq","Middle East & North Africa",1,0,"Unknown","Private Citizens & Property",-999,16,-999,"2.08595E+11"
"2606",201704090024,"India","South Asia",0,0,"Armed Assault","Police",0,0,0,"2.63095E+12"
"2315",201706290020,"Germany","Western Europe",0,0,"Bombing/Explosion","Business",0,0,0,"3.86576E+12"
"7344",201711130006,"Pakistan","South Asia",1,0,"Armed Assault","Military",12,10,4,"2.40857E+11"
"10446",201702220021,"United Kingdom","Western Europe",0,0,"Bombing/Explosion","Government (General)",0,0,0,"2.8069E+12"
"5083",201706240042,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",2,0,9,"2.08595E+11"
"8242",201711270046,"Philippines","Southeast Asia",1,0,"Unknown","Military",0,0,1,"3.03356E+11"
"6119",201711050008,"Libya","Middle East & North Africa",0,0,"Assassination","Government (General)",1,0,3,"46627921660"
"10290",201707080030,"Turkey","Middle East & North Africa",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",4,0,1,"1.20604E+12"
"8489",201702080035,"Philippines","Southeast Asia",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"3.03356E+11"
"5665",201702050004,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Military",1,1,0,"2.08595E+11"
"6354",201701080044,"Mali","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",1,0,4,"14146600519"
"2810",201706100039,"India","South Asia",1,0,"Armed Assault","Police",0,0,1,"2.63095E+12"
"2977",201711190018,"India","South Asia",1,0,"Bombing/Explosion","Police",1,0,0,"2.63095E+12"
"694",201711190013,"Afghanistan","South Asia",1,0,"Unknown","Police",3,2,3,"20744935406"
"5995",201706270003,"Kenya","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Police",8,0,5,"58109837754"
"2793",201701070016,"India","South Asia",1,0,"Armed Assault","Military",1,0,0,"2.63095E+12"
"35",201702210036,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Unknown",1,1,1,"20744935406"
"6274",201712030024,"Mali","Sub-Saharan Africa",1,0,"Assassination","Government (General)",1,0,0,"14146600519"
"5534",201712120009,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Police",0,0,2,"2.08595E+11"
"8987",201703120016,"Somalia","Sub-Saharan Africa",0,0,"Assassination","Journalists & Media",0,0,1,NA
"315",201709110019,"Afghanistan","South Asia",0,0,"Unknown","Military",5,5,7,"20744935406"
"6381",201704060054,"Mali","Sub-Saharan Africa",1,0,"Unknown","Terrorists/Non-State Militia",3,0,7,"14146600519"
"2856",201705290055,"India","South Asia",1,0,"Facility/Infrastructure Attack","Telecommunication",0,0,0,"2.63095E+12"
"1283",201707210029,"Afghanistan","South Asia",0,0,"Unknown","Police",0,0,1,"20744935406"
"1072",201705300008,"Afghanistan","South Asia",1,1,"Bombing/Explosion","Unknown",2,2,0,"20744935406"
"7956",201702120030,"Pakistan","South Asia",1,0,"Bombing/Explosion","Unknown",0,0,5,"2.40857E+11"
"170",201707310027,"Afghanistan","South Asia",1,0,"Unknown","Military",8,8,2,"20744935406"
"526",201702010017,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Police",1,0,6,"20744935406"
"7948",201707170003,"Pakistan","South Asia",1,1,"Bombing/Explosion","Military",4,1,9,"2.40857E+11"
"3798",201704060005,"Iraq","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"2.08595E+11"
"8067",201709270041,"Philippines","Southeast Asia",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",0,0,0,"3.03356E+11"
"3996",201702100016,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",5,0,14,"2.08595E+11"
"8496",201710010025,"Philippines","Southeast Asia",1,0,"Facility/Infrastructure Attack","Government (General)",0,0,0,"3.03356E+11"
"274",201704290033,"Afghanistan","South Asia",0,0,"Armed Assault","Military",2,2,3,"20744935406"
"5381",201709160025,"Iraq","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"2.08595E+11"
"8725",201709020024,"Philippines","Southeast Asia",1,0,"Unknown","Military",1,0,0,"3.03356E+11"
"5787",201707270006,"Iraq","Middle East & North Africa",1,1,"Bombing/Explosion","Private Citizens & Property",11,5,0,"2.08595E+11"
"2833",201712020011,"India","South Asia",1,0,"Armed Assault","Private Citizens & Property",0,0,1,"2.63095E+12"
"3661",201705150003,"Iraq","Middle East & North Africa",1,0,"Armed Assault","Military",1,0,1,"2.08595E+11"
"3921",201702060017,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Military",1,0,3,"2.08595E+11"
"4559",201712120006,"Iraq","Middle East & North Africa",1,0,"Unknown","Military",7,-999,-999,"2.08595E+11"
"9753",201702100035,"Syria","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",-999,0,24,NA
"8328",201706210015,"Philippines","Southeast Asia",1,0,"Armed Assault","Military",0,0,1,"3.03356E+11"
"7833",201703290001,"Pakistan","South Asia",0,0,"Bombing/Explosion","Private Citizens & Property",0,0,0,"2.40857E+11"
"2981",201710160014,"India","South Asia",1,0,"Assassination","Government (General)",2,1,0,"2.63095E+12"
"4849",201702250035,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"3052",201710130025,"India","South Asia",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,10,"2.63095E+12"
"7390",201705190019,"Pakistan","South Asia",1,0,"Hostage Taking (Kidnapping)","Government (General)",-999,0,-999,"2.40857E+11"
"8710",201712120047,"Philippines","Southeast Asia",1,0,"Assassination","Government (General)",1,0,0,"3.03356E+11"
"6952",201703300024,"Nigeria","Sub-Saharan Africa",1,0,"Armed Assault","Private Citizens & Property",4,0,11,"4.60457E+11"
"4387",201706160004,"Iraq","Middle East & North Africa",1,0,"Unknown","Military",-999,-999,1,"2.08595E+11"
"10098",201706110021,"Thailand","Southeast Asia",1,0,"Armed Assault","Private Citizens & Property",1,0,1,"4.22941E+11"
"2579",201710240032,"India","South Asia",0,0,"Bombing/Explosion","Government (General)",0,0,0,"2.63095E+12"
"6456",201708270045,"Myanmar","Southeast Asia",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",0,0,0,"79495831533"
"8039",201702210025,"Philippines","Southeast Asia",1,0,"Armed Assault","Police",1,0,0,"3.03356E+11"
"7356",201705030014,"Pakistan","South Asia",0,0,"Assassination","Private Citizens & Property",0,0,3,"2.40857E+11"
"1224",201707220014,"Afghanistan","South Asia",1,0,"Armed Assault","Police",19,15,26,"20744935406"
"6742",201711240032,"Nepal","South Asia",1,0,"Bombing/Explosion","Violent Political Party",0,0,0,"21463958187"
"10663",201704020030,"West Bank and Gaza Strip","Middle East & North Africa",0,0,"Armed Assault","Military",0,0,0,"12136735452"
"3742",201703120026,"Iraq","Middle East & North Africa",1,0,"Armed Assault","Military",2,0,4,"2.08595E+11"
"10398",201708100018,"United Kingdom","Western Europe",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.8069E+12"
"5712",201705130047,"Iraq","Middle East & North Africa",1,0,"Unknown","Military",2,0,3,"2.08595E+11"
"4706",201702210038,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",7,0,30,"2.08595E+11"
"10060",201709100012,"Thailand","Southeast Asia",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,2,"4.22941E+11"
"4795",201709300001,"Iraq","Middle East & North Africa",1,0,"Armed Assault","Police",4,2,0,"2.08595E+11"
"2020",201708170009,"Egypt","Middle East & North Africa",1,0,"Armed Assault","Police",0,0,1,"2.7171E+11"
"10505",201701280038,"United States","North America",1,0,"Facility/Infrastructure Attack","Religious Figures/Institutions",0,0,0,"1.7305E+13"
"5810",201707270004,"Iraq","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",4,0,-999,"2.08595E+11"
"8143",201709050005,"Philippines","Southeast Asia",1,0,"Assassination","Private Citizens & Property",1,0,0,"3.03356E+11"
"9674",201712090024,"Sweden","Western Europe",0,0,"Facility/Infrastructure Attack","Religious Figures/Institutions",0,0,0,"5.73209E+11"
"7223",201704240001,"Nigeria","Sub-Saharan Africa",1,1,"Bombing/Explosion","Unknown",3,3,0,"4.60457E+11"
"4312",201705130006,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Unknown",2,2,0,"2.08595E+11"
"4316",201708070006,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,0,"2.08595E+11"
